Date,Month,Year,Customer ID,Customer Age,Age Group,Customer Gender,Country,State,Product Category,Sub Category,Product,Frame Size,Order Quantity,Unit Cost,Unit Price,Cost,Revenue,Profit
6/25/14,June,2014,12614,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 52",52,1,2171,3578,2171,2719,548
6/25/16,June,2016,12614,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 52",52,1,2171,3578,2171,2719,548
3/23/12,March,2012,12620,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",44,2,2171,3578,4342,6226,1884
3/23/11,March,2011,12620,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",44,1,2171,3578,2171,3113,942
12/12/12,December,2012,12620,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",44,2,2171,3578,4342,6226,1884
12/12/11,December,2011,12620,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",44,3,2171,3578,6513,9339,2826
4/4/13,April,2013,12620,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3113,942
4/4/15,April,2015,12620,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3113,942
3/29/14,March,2014,12620,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3113,942
3/29/16,March,2016,12620,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3113,942
4/14/12,April,2012,12632,53,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Black, 44",44,2,1555,2443,3110,4544,1434
4/14/11,April,2011,12632,53,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Black, 44",44,1,1555,2443,1555,2272,717
11/2/13,November,2013,12632,53,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-150 Red, 44",44,1,2171,3578,2171,3328,1157
11/2/15,November,2015,12632,53,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-150 Red, 44",44,1,2171,3578,2171,3328,1157
4/12/12,April,2012,12655,48,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Black, 58",58,2,1555,2443,3110,4544,1434
4/12/11,April,2011,12655,48,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Black, 58",58,2,1555,2443,3110,4544,1434
12/19/13,December,2013,12655,48,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-150 Red, 52",52,1,2171,3578,2171,3328,1157
12/19/15,December,2015,12655,48,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-150 Red, 52",52,1,2171,3578,2171,3328,1157
7/1/13,July,2013,12657,48,Adults (35-64),F,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 58",58,1,1555,2443,1555,2419,864
7/1/15,July,2015,12657,48,Adults (35-64),F,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 58",58,2,1555,2443,3110,4837,1727
4/27/12,April,2012,12711,24,Youth (<25),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 62",62,2,2171,3578,4342,6870,2528
4/27/11,April,2011,12711,24,Youth (<25),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 62",62,1,2171,3578,2171,3435,1264
4/29/12,April,2012,12749,26,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-750 Black, 48",48,2,344,540,688,821,133
4/29/11,April,2011,12749,26,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-750 Black, 48",48,4,344,540,1376,1642,266
4/12/12,April,2012,12750,27,Young Adults (25-34),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 48",48,2,2171,3578,4342,6870,2528
4/12/11,April,2011,12750,27,Young Adults (25-34),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3435,1264
4/30/14,April,2014,12750,27,Young Adults (25-34),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 62",62,1,2171,3578,2171,3435,1264
6/1/12,June,2012,13537,38,Adults (35-64),F,France,Somme,Bikes,Road Bikes,"Road-150 Red, 52",52,2,2171,3578,4342,5868,1526
6/1/11,June,2011,13537,38,Adults (35-64),F,France,Somme,Bikes,Road Bikes,"Road-150 Red, 52",52,1,2171,3578,2171,2934,763
8/19/12,August,2012,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 52",52,2,2171,3578,4342,6655,2313
8/19/11,August,2011,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 52",52,3,2171,3578,6513,9983,3470
9/18/12,September,2012,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,2,2171,3578,4342,6655,2313
9/18/11,September,2011,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
1/30/13,January,2013,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
1/30/15,January,2015,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,2,2171,3578,4342,6655,2313
7/8/13,July,2013,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
7/8/15,July,2015,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
11/7/13,November,2013,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
11/7/15,November,2015,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
3/11/14,March,2014,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
3/11/16,March,2016,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,2,2171,3578,4342,6655,2313
5/5/14,May,2014,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
5/5/16,May,2016,13538,38,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,3,2171,3578,6513,9983,3470
1/28/14,January,2014,13540,37,Adults (35-64),F,Germany,Bayern,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3542,1371
1/28/16,January,2016,13540,37,Adults (35-64),F,Germany,Bayern,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3542,1371
5/2/13,May,2013,13542,39,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
5/2/15,May,2015,13542,39,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
3/22/14,March,2014,13542,39,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
3/22/16,March,2016,13542,39,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,2,2171,3578,4342,6655,2313
6/8/13,June,2013,13800,34,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-250 Black, 44",44,1,1555,2443,1555,2125,570
6/8/15,June,2015,13800,34,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-250 Black, 44",44,1,1555,2443,1555,2125,570
1/3/14,January,2014,13800,34,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-250 Red, 52",52,1,1519,2443,1519,2125,606
1/3/16,January,2016,13800,34,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-250 Red, 52",52,2,1519,2443,3038,4251,1213
4/4/14,April,2014,13800,34,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-250 Red, 52",52,1,1519,2443,1519,2125,606
4/4/16,April,2016,13800,34,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-250 Red, 52",52,1,1519,2443,1519,2125,606
8/15/12,August,2012,13806,33,Young Adults (25-34),M,France,Val de Marne,Bikes,Road Bikes,"Road-250 Red, 52",52,2,1519,2443,3038,3860,822
8/15/11,August,2011,13806,33,Young Adults (25-34),M,France,Val de Marne,Bikes,Road Bikes,"Road-250 Red, 52",52,2,1519,2443,3038,3860,822
10/17/12,October,2012,13808,33,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-150 Red, 62",62,2,2171,3578,4342,7084,2742
10/17/11,October,2011,13808,33,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-150 Red, 62",62,2,2171,3578,4342,7084,2742
2/8/14,February,2014,13808,33,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3542,1371
2/8/16,February,2016,13808,33,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3542,1371
8/26/12,August,2012,13811,34,Young Adults (25-34),F,France,Seine Saint Denis,Bikes,Road Bikes,"Road-150 Red, 48",48,2,2171,3578,4342,5868,1526
8/26/11,August,2011,13811,34,Young Adults (25-34),F,France,Seine Saint Denis,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,2934,763
8/13/12,August,2012,13812,34,Young Adults (25-34),F,France,Loiret,Bikes,Road Bikes,"Road-250 Black, 58",58,2,1555,2443,3110,4349,1239
8/13/11,August,2011,13812,34,Young Adults (25-34),F,France,Loiret,Bikes,Road Bikes,"Road-250 Black, 58",58,1,1555,2443,1555,2174,619
4/19/14,April,2014,13822,35,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3542,1371
4/19/16,April,2016,13822,35,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-150 Red, 48",48,1,2171,3578,2171,3542,1371
8/19/12,August,2012,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-750 Black, 58",58,2,344,540,688,1037,349
8/19/11,August,2011,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,518,174
1/10/13,January,2013,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,518,174
1/10/15,January,2015,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-750 Black, 58",58,2,344,540,688,1037,349
6/8/13,June,2013,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,518,174
6/8/15,June,2015,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-750 Black, 58",58,1,344,540,344,518,174
3/18/14,March,2014,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-250 Red, 52",52,1,1519,2443,1519,2345,826
3/18/16,March,2016,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-250 Red, 52",52,1,1519,2443,1519,2345,826
5/17/14,May,2014,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-250 Red, 52",52,1,1519,2443,1519,2345,826
5/17/16,May,2016,13823,35,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-250 Red, 52",52,2,1519,2443,3038,4691,1653
5/18/12,May,2012,13829,20,Youth (<25),M,Germany,Bayern,Bikes,Road Bikes,"Road-750 Black, 44",44,2,344,540,688,1069,381
5/18/11,May,2011,13829,20,Youth (<25),M,Germany,Bayern,Bikes,Road Bikes,"Road-750 Black, 44",44,2,344,540,688,1069,381
8/28/12,August,2012,13840,23,Youth (<25),M,France,Pas de Calais,Bikes,Road Bikes,"Road-250 Red, 48",48,2,1519,2443,3038,4153,1115
8/28/11,August,2011,13840,23,Youth (<25),M,France,Pas de Calais,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,2077,558
3/2/13,March,2013,13892,31,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 58",58,1,1555,2443,1555,2101,546
3/2/15,March,2015,13892,31,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 58",58,1,1555,2443,1555,2101,546
3/18/13,March,2013,13892,31,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 58",58,1,1555,2443,1555,2101,546
3/18/15,March,2015,13892,31,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 58",58,3,1555,2443,4665,6303,1638
7/31/13,July,2013,13892,31,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 58",58,1,1555,2443,1555,2101,546
7/31/15,July,2015,13892,31,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 58",58,1,1555,2443,1555,2101,546
6/8/13,June,2013,13947,38,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 52",52,1,1555,2443,1555,2101,546
6/8/15,June,2015,13947,38,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 52",52,1,1555,2443,1555,2101,546
11/23/12,November,2012,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,2,1519,2443,3038,3811,773
11/23/11,November,2011,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
11/27/12,November,2012,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,2,1519,2443,3038,3811,773
11/27/11,November,2011,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
1/7/13,January,2013,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
1/7/13,January,2013,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
1/7/15,January,2015,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,2,1519,2443,3038,3811,773
1/7/15,January,2015,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
6/1/13,June,2013,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
6/1/15,June,2015,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,3,1519,2443,4557,5717,1160
6/23/13,June,2013,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
6/23/15,June,2015,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,2,1519,2443,3038,3811,773
10/7/13,October,2013,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
10/7/15,October,2015,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
10/13/13,October,2013,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
10/13/15,October,2015,13978,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",48,1,1519,2443,1519,1906,387
7/19/12,July,2012,13990,19,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",44,2,713,1120,1426,1926,500
7/19/11,July,2011,13990,19,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",44,3,713,1120,2139,2890,751
9/13/12,September,2012,13990,19,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",44,2,713,1120,1426,1926,500
9/13/11,September,2011,13990,19,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",44,2,713,1120,1426,1926,500
2/4/13,February,2013,13990,19,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",44,1,713,1120,713,963,250
2/4/15,February,2015,13990,19,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 44",44,3,713,1120,2139,2890,751
11/23/13,November,2013,13990,19,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,963,250
11/23/15,November,2015,13990,19,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,1926,500
4/6/12,April,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
4/6/11,April,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,1098,385
5/2/12,May,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
5/2/11,May,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,1098,385
5/25/12,May,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
5/25/11,May,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,1098,385
6/18/12,June,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
6/18/11,June,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
7/7/12,July,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
7/7/11,July,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,1098,385
7/10/12,July,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
7/10/11,July,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,3,713,1120,2139,3293,1154
7/28/12,July,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
7/28/11,July,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,1098,385
8/6/12,August,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
8/6/11,August,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,1098,385
8/17/12,August,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
8/17/11,August,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,1098,385
12/7/12,December,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
12/7/11,December,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,1098,385
12/23/12,December,2012,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,2,713,1120,1426,2195,769
12/23/11,December,2011,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",42,1,713,1120,713,1098,385
9/14/13,September,2013,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
9/14/15,September,2015,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
9/27/13,September,2013,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
9/27/15,September,2015,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
10/11/13,October,2013,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
10/11/15,October,2015,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
11/19/13,November,2013,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
11/19/15,November,2015,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,3,713,1120,2139,3293,1154
12/19/13,December,2013,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
12/19/15,December,2015,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
2/4/14,February,2014,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
2/4/14,February,2014,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
2/4/16,February,2016,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
2/4/16,February,2016,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,2,713,1120,1426,2195,769
2/8/14,February,2014,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
2/8/16,February,2016,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
4/14/14,April,2014,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
4/14/16,April,2016,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
6/4/14,June,2014,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
6/4/16,June,2016,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,3,713,1120,2139,3293,1154
6/21/14,June,2014,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,1,713,1120,713,1098,385
6/21/16,June,2016,13993,19,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",40,3,713,1120,2139,3293,1154
6/27/14,June,2014,13997,50,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-250 Black, 52",52,1,1555,2443,1555,2003,448
6/27/16,June,2016,13997,50,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-250 Black, 52",52,1,1555,2443,1555,2003,448
5/13/12,May,2012,14005,20,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 38",38,2,713,1120,1426,2195,769
4/16/16,April,2016,14945,32,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,2,2171,3578,4342,6655,2313
6/1/14,June,2014,14945,32,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,1,2171,3578,2171,3328,1157
6/1/16,June,2016,14945,32,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 56",56,2,2171,3578,4342,6655,2313
